rank,stock,spot,sell_strike,buy_strike,otm_percent,otm_points,width,credit,lot_size,profit_per_lot,loss_per_lot,breakeven,profit_to_loss
124,INDBA,994.0,960.0,950.0,3.420523138832998,34.0,10.0,1.7500000000000009,1,1.7500000000000009,8.25,958.25,4.714285714285712
125,VARBEV,414.0,400.0,390.0,3.3816425120772946,14.0,10.0,1.9499999999999997,1,1.9499999999999997,8.05,398.05,4.1282051282051295
126,MOTSUM,165.6,160.0,157.5,3.3816425120772915,5.599999999999994,2.5,0.5,1,0.5,2.0,159.5,4.0
127,MOTSUM,165.6,160.0,155.0,3.3816425120772915,5.599999999999994,5.0,0.96,1,0.96,4.04,159.04,4.208333333333334
128,KALJEW,615.8,595.0,550.0,3.3777200389736852,20.799999999999955,45.0,11.149999999999999,1350,15052.499999999998,45697.5,583.85,3.035874439461884
129,KALJEW,615.8,595.0,540.0,3.3777200389736852,20.799999999999955,55.0,12.399999999999999,1350,16739.999999999996,57510.0,582.6,3.435483870967743
130,KALJEW,615.8,595.0,530.0,3.3777200389736852,20.799999999999955,65.0,13.399999999999999,1350,18089.999999999996,69660.0,581.6,3.8507462686567173
131,KALJEW,615.8,595.0,520.0,3.3777200389736852,20.799999999999955,75.0,14.0,1350,18900.0,82350.0,581.0,4.357142857142857
132,CHOINV,1862.9,1800.0,1700.0,3.3764560631273866,62.90000000000009,100.0,18.1,1,18.1,81.9,1781.9,4.524861878453039
133,PREENR,1013.9,980.0,940.0,3.343525002465724,33.89999999999998,40.0,9.349999999999998,1,9.349999999999998,30.650000000000002,970.65,3.2780748663101615
134,PREENR,1013.9,980.0,920.0,3.343525002465724,33.89999999999998,60.0,12.2,1,12.2,47.8,967.8,3.918032786885246
135,PREENR,1013.9,980.0,900.0,3.343525002465724,33.89999999999998,80.0,14.149999999999999,1,14.149999999999999,65.85,965.85,4.6537102473498235
136,VOLTAS,1200.0,1160.0,1140.0,3.3333333333333335,40.0,20.0,4.25,1,4.25,15.75,1155.75,3.7058823529411766
137,VOLTAS,1200.0,1160.0,1120.0,3.3333333333333335,40.0,40.0,7.5,1,7.5,32.5,1152.5,4.333333333333333
138,WIPRO,180.95,175.0,172.5,3.2882011605415795,5.949999999999989,2.5,0.6199999999999999,1,0.6199999999999999,1.8800000000000001,174.38,3.03225806451613
139,WIPRO,180.95,175.0,170.0,3.2882011605415795,5.949999999999989,5.0,1.1199999999999999,1,1.1199999999999999,3.88,173.88,3.4642857142857144
140,WIPRO,180.95,175.0,167.5,3.2882011605415795,5.949999999999989,7.5,1.45,1,1.45,6.05,173.55,4.172413793103448
141,WIPRO,180.95,175.0,165.0,3.2882011605415795,5.949999999999989,10.0,1.71,1,1.71,8.29,173.29,4.847953216374268
142,HDFSTA,548.0,530.0,520.0,3.2846715328467155,18.0,10.0,2.0500000000000003,1,2.0500000000000003,7.949999999999999,527.95,3.878048780487804
143,HDFSTA,548.0,530.0,510.0,3.2846715328467155,18.0,20.0,3.45,1,3.45,16.55,526.55,4.797101449275362
144,SBICAR,641.05,620.0,610.0,3.2836752203416206,21.049999999999955,10.0,2.2,1,2.2,7.8,617.8,3.545454545454545
145,SBICAR,641.05,620.0,600.0,3.2836752203416206,21.049999999999955,20.0,3.8499999999999996,1,3.8499999999999996,16.15,616.15,4.194805194805195
146,SBICAR,641.05,620.0,590.0,3.2836752203416206,21.049999999999955,30.0,5.1,1,5.1,24.9,614.9,4.882352941176471
147,ASHLEY,175.77,170.0,167.5,3.282698981623718,5.77000000000001,2.5,0.5699999999999998,1,0.5699999999999998,1.9300000000000002,169.43,3.385964912280703
148,ASHLEY,175.77,170.0,165.0,3.282698981623718,5.77000000000001,5.0,1.0299999999999998,1,1.0299999999999998,3.97,168.97,3.854368932038836
